index,mbti,movie
10,"Elizabeth Swann(ESFP),Tamara(ESFP),Tamara(ESFP),Capitaine Chevalle(ESFJ),Pintel(ESTP),Tai Huang(XXXX),Barbossa(ESTJ),Armando Salazar(ESTJ),King George II(ESTJ),Ching Shih(ESTJ),Anamaria(ESTJ),Capitán Villanueva(ESTJ),Calypso(ENFP),Angelica(ENFJ),Philip Swift(ENFJ),Captain Jack Sparrow(ENTP),Uncle Jack(ENTP),Henry Turner(ISFP),Bootstrap Bill Turner(ISFP),Captain Ammand(ISFP),Will Turner(ISFJ),Joshamee Gibbs(ISFJ),Governor Weatherby Swann(ISFJ),Ragetti(ISFJ),Cotton(ISFJ),the Spaniard(ISFJ),Blackbeard(ISTP),Sao Feng(ISTP),Ian Mercer(ISTP),Marty(ISTP),James Norrington(ISTJ),Carina Smyth(ISTJ),Murtogg(ISTJ),Murtogg(ISTJ),Captain Jocard(ISTJ),Groves(ISTJ),Davy Jones(INFP),Syrena(INFP),Shansa(INFJ),Sri Sumbhajee(INTP),Cutler Beckett(INTJ),Edward Teague(INTJ),",   Pirates of the Caribbean
11,"Miguel Rivera(ESFP),Dante(ESFP),Dante(ESFP),Mamá Coco(ESFJ),Mamá Coco(ESFJ),Ernesto de la Cruz(ESTP),Abuelita Elena(ESTJ),Mamá Imelda(ESTJ),Héctor(ENTP),Chicharrón(ISTP),Papá Julio(ISTP),Pepita(ISTJ),",   Coco (2017)
12,"Peregrin ""Pippin"" Took(ESFP),Gimli(ESTP),Boromir(ESTJ),Théoden(ESTJ),Éomer(ESTJ),Lurtz(ESTJ),Mouth of Sauron(ESTJ),The King of the Dead(ESTJ),The King of the Dead(ESTJ),The King of the Dead(ESTJ),Shagrat(ESTJ),Grishnakh(ENFP),Meriadoc ""Merry"" Brandybuck(ENTP),Sauron(ENTJ),Gollum(ENTJ),Legolas(ISFP),Sméagol(ISFP),Éowyn(ISFP),Samwise ""Sam"" Gamgee(ISFJ),Treebeard(ISFJ),Háma(ISFJ),The Witch-king of Angmar(ISTP),Haleth(ISTP),Shelob(ISTP),Denethor II(ISTJ),Celeborn(ISTJ),Haldir(ISTJ),Gothmog(ISTJ),The Nazgûl(ISTJ),The Nazgûl(ISTJ),Madril(ISTJ),Frodo Baggins(INFP),Arwen(INFP),Faramir(INFP),Aragorn(INFJ),Galadriel(INFJ),Grima Wormtongue(INTP),Snaga(XXXX),Gandalf(INTJ),Saruman(INTJ),Elrond(INTJ),Balrog (Valaraukar) of Morgoth / Durin's Bane(INTJ),",   The Lord of the Rings
13,"Nemo(ESFP),Crush(ESFP),Darla(ESFP),Nigel(ESFP),Squirt(ESFP),Squirt(ESFP),Bailey(ESFP),Bailey(ESFP),Deb(ESFJ),Bloat(ESTP),Gurgle(ESTJ),Dory(ENFP),Destiny(ENFJ),Mr. Ray(ENFJ),Philip Sherman(ENTJ),Bruce(ISFP),Peach(ISFJ),Coral(ISFJ),Coral(ISFJ),Barracuda(ISTP),Marlin(ISTJ),Jacques(INFP),Jacques(INFP),Becky(INTP),Becky(INTP),Gill(INTJ),Hank(INTJ),",   Finding Nemo (Franchise)
14,"Jessie(ESFP),Duke Caboom(ESFP),Babyface(ESFP),Emily(ESFP),Buster(ESFP),Mr. Jones(ESFP),Woody(ESFJ),Barbie(ESFJ),Gabby Gabby(ESFJ),Mrs. Potato Head(ESFJ),Ken(ESFJ),Andy's Mom(ESFJ),Andy's Mom(ESFJ),Andy's Mom(ESFJ),Mrs. Nesbitt(ESFJ),Bonnie's dad(ESFJ),Giggle McDimples(ESFJ),Tour Guide Barbie(ESFJ),Buzz Lightyear(ESTP),Al McWhiggin(ESTP),Twitch(ESTP),Barrel of Monkeys(ESTP),Mr. Potato Head(ESTJ),The Monkey(ESTJ),Sarge / Sergeant(ESTJ),Woody (Black Friday Reel)(ESTJ),Reptillus Maximus(ESTJ),Andy Davis(ENFP),Peas-in-a-Pod(ENFP),Lotso(ENFJ),Bo-Peep (Toy Story 4 Version)(ENFJ),Rib Tickles(ENFJ),Mr. Mike(ENTP),Stretch(ENTP),See 'n Say(ENTP),Zurg(ENTJ),The Cleric(ENTJ),Slinky(ISFP),Bullseye(ISFP),Chunk(ISFP),Axel the Carnie(ISFP),Karen Beverly(ISFP),Mason(ISFP),Hannah Phillips(ISFP),Harmony (Toy Story 4)(ISFP),Ducky (Mutant Sid's toy)(ISFP),Bo-Peep(ISFJ),Rex(ISFJ),Forky(ISFJ),Daisy(ISFJ),Old Timer(ISFJ),Billy, Goat, and Gruff(ISFJ),Legs(ISFJ),Margaret the Store Owner(ISFJ),Knifey(ISFJ),Sid Phillips(ISTP),Hamm(ISTP),Bunny(ISTP),Benson(ISTP),Benson(ISTP),Sparks(ISTP),Pteranodon(ISTP),Scud(ISTP),Dragon the Cat(ISTP),Stinky Pete(ISTJ),Buzz Lightyear ( Toy Story 1 version)(ISTJ),Geri The Cleaner(ISTJ),Knick(ISTJ),Bonnie's mom(ISTJ),Bonnie Anderson(INFP),Angel Kitty(INFP),Tinny(INFP),Mr. Pricklepants(INFJ),RC(INFJ),Aliens(INTP),Chatter Telephone(INTP),Lenny(INTP),Bookworm(INTP),Rejean(INTP),Ronald Tompkins(INTP),Etch A Sketch(INTP),",   Toy Story (Franchise)
15,"Prince Naveen(ESFP),Charlotte LaBouff(ESFP),Eli LaBouff(ESFJ),Eudora(ESFJ),Eudora(ESFJ),Tiana(ESTJ),Ray(ENFP),Mama Odie(ENFP),James(ENFJ),Dr. Facilier(ENTP),Lawrence(ISTJ),",   The Princess and the Frog (2009)
16,"Tigger(ESFP),Roo(ENFP),Winnie the Pooh(ISFP),Piglet(ISFJ),Kanga(ISFJ),Rabbit(ISTJ),Eeyore(INFP),Christopher Robin(INFP),Christopher Robin(INFP),Owl(INTP),",   Winnie the Pooh (2011)
17,"Jenny(ESFP),Lieutenant Dan(ESTJ),Bubba Blue(ENFP),Mrs. Gump(ENFJ),Forrest Gump(ISFJ),Little Forrest(INTP),",   Forrest Gump (1994)
18,"Rick Dalton(ESFP),Pussycat(ESFP),Sharon Tate(ESFJ),Bruce Lee(ESTP),Marvin Schwarz(ESTJ),Squeaky Fromme(ESTJ),Susan Atkins(ENFP),Trudi Fraser(ENTJ),Tex(ISFJ),Tex(ISFJ),Cliff Booth(ISTP),Steve McQueen(ISTP),",   Once Upon a Time in Hollywood (2019)
19,"Caesar Flickerman(ESFP),Glimmer(ESFP),Effie Trinket(ESFJ),Johanna Mason(ESTP),Cato(ESTP),Clove(ESTP),Marvel(ESTP),Cressida(ESTJ),Peeta Mellark(ENFP),Finnick Odair(ENFJ),Seneca Crane(ENTP),Gale Hawthorne(ENTJ),Coriolanus Snow(ENTJ),Commander Paylor(ENTJ),Cinna(ISFP),Thresh(ISFP),Thresh(ISFP),Pollux(ISFP),Primrose Everdeen(ISFJ),Hob Vendor(ISFJ),Katniss Everdeen(ISTP),Boggs(ISTJ),Rue(INFP),Wiress(INFP),Plutarch Heavensbee(INFJ),Annie Cresta(INFJ),Haymitch Abernathy(INTP),Beetee Latier(INTP),Finch Crossley (Foxface)(INTP),Finch Crossley (Foxface)(INTP),Castor(INTP),Alma Coin(INTJ),",   The Hunger Games
