index,mbti,movie
200,"Sean Cassidy ""Banshee""(ESFP),Roberto Da Costa ""Sunspot""(ESFP),Jubilation Lee ""Jubilee""(ESFP),Yukio(ESFP),Raven Darkhölme ""Mystique""(ESTP),Alex Summers ""Havok""(ESTP),Alex Summers ""Havok""(ESTP),Ophelia Sarkissian ""Dr. Green""/""Viper""(ESTP),Noburo Mori(ESTP),Dr. Cecilia Reyes(ESTJ),Dr Zander Rice(ESTJ),Clarice Ferguson ""Blink""(ENFP),Charles Xavier ""Professor X""(ENFJ),Peter Maximoff ""Quicksilver""(ENTP),Illyana Rasputin ""Magik""(ENTP),Emma Frost(ENTP),En Sabah Nur ""Apocalypse""(ENTJ),Sebastian Shaw(ENTJ),Ichirō Yashida ""Silver Samurai""(ENTJ),Jean Grey ""Phoenix""/""Dark Phoenix""(ISFP),Jean Grey ""Phoenix""/""Dark Phoenix""(ISFP),Rahne Sinclair ""Wolfsbane""(ISFP),Blob(ISFP),Mariko Yashida(ISFP),Kenuichio Harada(ISFP),Laura Kinney ""X-23""(ISTP),X-24 (Wolverine Clone)(ISTP),Ororo Munroe ""Storm""(ISTP),Azazel(ISTP),Scott Summers ""Cyclops""(ISTJ),Moira MacTaggert(ISTJ),Moira MacTaggert(ISTJ),Janos Quested ""Riptide""(ISTJ),Shingen Yashida(ISTJ),Kurt Wagner ""Nightcrawler""(INFP),Kitty Pryde ""Shadowcat""(INFP),Kitty Pryde ""Shadowcat""(INFP),Sam Guthrie ""Cannonball""(INFP),Elizabeth Braddock ""Psylocke""(INFJ),Hank McCoy ""Beast""(INTP),Caliban(INTP),Caliban(INTP),Chris Bradley(INTP),Erik Lehnsherr ""Magneto""(INTJ),Vuk(INTJ),Bolivar Trask(INTJ),",   X-Men Cinematic Universe (2011-2020)
201,"Celia Rae Foote(ESFP),Minny Jackson(ESTJ),Minny Jackson(ESTJ),Charlotte Phelan(ESTJ),Elizabeth Leefolt(ISFP),Aibileen Clark(ISFJ),Aibileen Clark(ISFJ),Eugenia ""Skeeter"" Phelan(INFP),",   The Help (2011)
202,"Marion Davies(ESFP),Louis B. Mayer(ESTJ),Orson Welles(XXXX),Herman Mankiewicz(ENTP),Herman Mankiewicz(ENTP),William Randolph Hearst(ENTJ),Rita Alexander(ISFJ),Sara Mankiewicz(ISFJ),Joseph Mankiewicz(ISTJ),",   Mank (2020)
203,"Lance(ESFP),Buster Moon(ENFP),Mike(ENTJ),Nana Noodleman(ENTJ),Meena’s Grandfather(ENTJ),Ash(ISFP),Eddie Noodleman(ISFP),Rosita(ISFJ),Norman(ISTJ),Meena(INFP),Johnny(INFP),",   Sing (2016)
204,"Anya Thorensen(ESFP),Kane(ISTP),Josie Radek(INFP),Cass Sheppard(INFJ),Lena(INTJ),",   Annihilation (2018)
205,"Amber Waves(ESFP),Reed Rothchild(ESFP),Reed Rothchild(ESFP),Reed Rothchild(ESFP),Reed Rothchild(ESFP),Maurice Rodriguez(ESFP),Becky Barnett(ESFP),Johnny Doe(ESTP),Rahad Jackson(ENTP),Floyd Gondolli(ENTP),Jack Horner(ENTJ),Jack Horner(ENTJ),Eddie Adams ""Dirk Diggler""(ISFP),Jesse St. Vincent(ISFP),""Little"" Bill Thompson(INFP),Kurt Longjohn(INTP),The Colonel James(INTJ),",   Boogie Nights (1997)
206,"King Kong(ESFP),King Kong(ESFP),Bruce Baxter(ESFP),Lumpy(ESTP),Benjamin ""Ben"" Hayes(ESTJ),Carl Denham(ENTP),Carl Denham(ENTP),Jimmy(ISFP),Jack Driscoll(ISTP),Captain Englehorn(INTJ),Preston(INTJ),",   King Kong (2005)
207,"Emmett DeWitt(ESFP),Leslie(ESTP),Howard Stambler(ESTJ),",   10 Cloverfield Lane (2016)
208,"Candy(ESFP),Candy(ESFP),Candy(ESFP),Rose(ESFP),Randle McMurphy(ESTP),Billy Bibbit(ISFP),Martini(ISFP),Fredrickson(ISFJ),Nurse Ratched(ISTJ),""Chief"" Bromden(INFJ),Harding(INTJ),Harding(INTJ),",   One Flew Over the Cuckoo's Nest (1975)
209,"Hamilton “Ham” Porter(ESFP),Alan ""Yeah-Yeah"" McClennan(ESFP),Benny ""The Jet"" Rodriguez(ENFJ),Kenny DeNunez(ENTP),Bill(ISTJ),Scotty Smalls(INTP),Scotty Smalls(INTP),",   The Sandlot (1993)
210,"William ""Bill"" S. Preston(ESFP),William ""Bill"" S. Preston(ESFP),William ""Bill"" S. Preston(ESFP),William ""Bill"" S. Preston(ESFP),William ""Bill"" S. Preston(ESFP),Ms. Wardroe(ESFJ),Theodore ""Ted"" Logan(ESTP),Deacon(ESTP),Mr. Ryan(ESTJ),Missy(ENFP),Napoleon Bonaparte(ENTJ),Genghis Khan(ENTJ),Princess Joanna(ISFP),Abraham Lincoln(ISFJ),Princess Elizabeth(ISFJ),Mr. Preston(ISTP),Death(ISTJ),Captain Logan(ISTJ),Joan of Arc(INFP),Rufus(INTP),Dr. Sigmund Freud(INTP),Socrates(INTP),Ludwig van Beethoven(INTJ),",   Bill & Ted
211,"The duck(ESFP),Once-ler's mother(ESTJ),The Once-ler(ENFP),Audrey(ENFP),Cy(ENFP),The Lorax(ENFJ),Grammy Norma(ENFJ),O'Hare(ENTJ),Ted(ISFP),Morty(ISTJ),",   The Lorax (2012)
212,"B.O.B.(ESFP),Missing Link(ESTP),General W.R. Monger(ESTJ),Derek Dietl(ESTJ),President Hathaway(ENTP),Gallaxhar(ENTJ),Insectosaurus(ISFP),Susan Murphy ""Ginormica""(INFJ),Dr. Cockroach(INTJ),Dr. Cockroach(INTJ),",   Monsters vs. Aliens
213,"Edgar(ESFP),Edgar(ESFP),Tanya(ESFJ),Minister Mason(ESTJ),Grey(ISFP),Curtis Everett(ISTP),Gilliam(INFJ),Gilliam(INFJ),Namgoong Minsoo(INTP),",   Snowpiercer (2013)
214,"Marie Antoinette(ESFP),Marie Antoinette(ESFP),Marie Antoinette(ESFP),Madame du Barry(XXXX),Yolande de Polastron, Duchess of Polignac(ESFP),Louis XV of France(ESTP),Empress Maria Theresa(ESTJ),Louis XVI of France(ISFP),Axel Von Fersen(ISFP),Princesse de Lamballe(ISFJ),Florimond Claude, Count of Mercy-Argenteau(ISTJ),Anne de Noailles, ""Countess of Noailles""(ISTJ),",   Marie Antoinette (2006)
215,"Natalie(ESFP),Natalie(ESFP),Natalie(ESFP),Natalie(ESFP),Juliet(ESFJ),Juliet(ESFJ),Colin Frissell(ESTP),Mia(ESTP),The US President(ESTP),Karen(ESTJ),Karen(ESTJ),Rufus(ENTP),The Prime Minister(ISFP),Peter(ISFP),Judy(ISFP),Daniel(ISFJ),Joe(ISFJ),Jack(XXXX),Aurelia(ISTP),Jamie Bennett(INFP),Sam(INFP),Harry(INTJ),Harry(INTJ),",   Love Actually (2003)
216,"Deezel Riggs ""Porkchop""(ESFP),Deezel Riggs ""Porkchop""(ESFP),Mitchell McClurg ""Monkey""(ESFJ),Mitchell McClurg ""Monkey""(ESFJ),Nolo Pasaro(ESTP),Nolo Pasaro(ESTP),Nolo Pasaro(ESTP),Mark Wylde(ESTP),Vert Wheeler(ENFP),Major Jack Wheeler(ENTJ),Shirako Takamoto(ISFP),Tork Maddox(ISFJ),Lani Tam(ISFJ),Kurt Wylde(ISTP),Taro Kitano(ISTP),Kurt Wylde(ISTP),Brian Kadeem(INFP),Brian Kadeem(INFP),Dan Dresden(INFJ),Peter Tezla(INTJ),",   Hot Wheels World Race / AcceleRacers
217,"Robot 216(ESFP),Ceku(ESFJ),Arif Işık(ESTP),Erşan Kuneri(ESTP),Komutan Logar(ENTJ),Komutan Logar(ENTJ),Bob Marley Faruk(ISFP),Garavel(INFJ),",   G.O.R.A. (2004)
218,"Susan Alexander Kane(ESFP),Susan Alexander Kane(ESFP),Charles Foster Kane(ENTJ),Mr. Bernstein(ISFJ),",   Citizen Kane (1941)
219,"Wooderson(ESFP),Wooderson(ESFP),Kevin Pickford(ESTP),Kevin Pickford(ESTP),Benny O'Donnell(ESTP),Melvin Spivey(ESTP),Darla Marks(ESTJ),Darla Marks(ESTJ),Darla Marks(ESTJ),Julie Simms(ENFP),Mike Newhouse(ENTP),Shavonne Wright(ENTP),Randall ""Pink"" Floyd(ISFP),Mitch Kramer(ISFP),Carl Burnett(ISFP),Cynthia Dunn(ISTP),Clint Bruno(ISTP),Hirschfelder(INFP),Tony Olson(INFJ),Ron Slater(INTP),Tommy Houston(INTP),Kaye Faulkner(INTP),",   Dazed and Confused (1993)
220,"Charles Davis ""Scorpio""(ESFP),Charles Davis ""Scorpio""(ESFP),Inspector Harry Callahan / Dirty Harry(ISTP),",   Dirty Harry
221,"Liz(ESFP),Harper Kreyman(ENFJ),Harper Kreyman(ENFJ),Jodi Kreyman(ISFP),Stig Mohlin(ISFP),Jack Dunkleman(INTP),",   Tall Girl (2019)
222,"Mia Grey(ESFP),Jose Rodriguez(XXXX),Katherine ""Kate"" Kavanagh(ESFJ),Grace Trevelyan Grey(ESFJ),Elliot Grey(ESTP),Jack Hyde(ESTP),Sawyer(ESTP),Jason Ray(XXXX),Christian Grey(ENTJ),Elena Lincoln(ENTJ),Anastasia Steele(ISFJ),Jason Taylor(ISTP),Leila Williams(INFP),",   Fifty Shades of Grey
223,"Amelia Wren(ESFP),Antonia(ISFJ),James Glaisher(INTP),",   The Aeronauts
224,"Taran(ESFP),Orwen(ESFJ),Orgoch(ESTJ),Orddu(ENTJ),Gurgi(XXXX),Fflewddur Fflam(ISFP),Creeper(ISTP),King Eidilleg(INFP),Dallben(INFJ),Doli(INTJ),",   The Black Cauldron (1985)
225,"Park Gang-Du(ESFP),Park Nam-Joo(ISFP),Park Nam-il(ISTP),Park Hie-bong(ISTJ),",   The Host (2006)
226,"The Dauphin(ESFP),Thomas(ISTJ),Phillippa(ISTJ),King Henry V(INFP),William Gascoigne(INFJ),William Gascoigne(INFJ),Catherine(INTJ),King Henry IV(INTJ),",   The King (2019)
227,"Conrad Walden(ESFP),Joan Walden(ESFJ),Larry Quinn(ESTP),Sally Walden(ESTJ),Sally Walden(ESTJ),Mr. Humberfloob(ESTJ),The Cat in the Hat(ENTP),Mrs. Kwan(ISTJ),",   The Cat in the Hat (2003)
228,"Prince Anders(ESFP),Prince Anders(ESFP),Prince Anders(ESFP),Prince Anders(ESFP),Dalia(ESFJ),Aladdin(ESTP),Iago(ESTP),Iago(ESTP),Razoul(ESTJ),Genie(ENFP),Sultan(ISFJ),Rajah(ISTP),Hakim(ISTJ),Hakim(ISTJ),Jasmine(INFP),Jafar(INTJ),",   Aladdin (2019)
229,"Lamont(ESFP),Lamont(ESFP),Doris Vinyard(ESFJ),Davina Vinyard(ENFP),Derek Vinyard(ENTJ),Danny Vinyard(ISFP),Stacey(ISFP),Dr. Rob Sweeney(INFJ),Cameron Alexander(INTJ),",   American History X (1998)
230,"Dickon(ESFP),Dickon(ESFP),Martha(ENFP),Martha(ENFP),Mrs. Medlock(ISTJ),Mrs. Medlock(ISTJ),Colin Craven(INTJ),",   The Secret Garden (1993)
231,"Elliot(ESFP),Elliot(ESFP),Boog(ISTJ),Boog(ISTJ),",   Open Season (2006)
232,"Lynda Van Der Klok(ESFP),Annie Brackett(ESFP),Nurse Karen Bailey (Halloween II)(ESFJ),Nurse Virginia Alves (Halloween II)(ESTJ),Nurse Janet Marshall (Haloween II)(ENFJ),Lindsey Wallace(ISFP),Nurse Jill Franco (Halloween II)(ISFP),Laurie Strode(ISFJ),Michael Myers / The Shape(ISTP),Dr. Frederick Mixter (Halloween II)(ISTP),EMT Budd Scarlotti (Halloween II)(ISTP),Sheriff Leigh Brackett(ISTJ),Marion Chambers(ISTJ),Deputy Gary Hunt (Halloween II)(ISTJ),Tommy Doyle(INFP),Dr. Samuel Loomis(INFJ),EMT Jimmy Lloyd (Halloween II)(INFJ),",   Halloween (1978)
233,"Bullet-Tooth Tony(ESFP),Mickey O'neil(ESTP),Mickey O'neil(ESTP),Mickey O'neil(ESTP),Sol(ESTP),Brick Top(ESTJ),Tommy(ENFP),Vinny(ENTJ),Turkish(ISTP),Franky Four Fingers(ISTP),Franky Four Fingers(ISTP),Franky Four Fingers(ISTP),Tyrone(INFP),",   Snatch. (2000)
234,"Woman(ESFP),Woman(ESFP),Mother(INTJ),Mother(INTJ),",   I Am Mother (2019)
235,"Blair(ESFP),Blair(ESFP),Edeline(ENFP),Derek(ENTP),Isla(ENTP),Isla(ENTP),Geneveive(ISFP),Geneveive(ISFP),Kathleen(ISFP),Kathleen(ISFP),Twyla(ISFP),Ashlyn(ISFJ),King Randolph(ISFJ),Fallon(INFP),Fallon(INFP),Lacey(INFP),Courtney(INFJ),",   Barbie In The 12 Dancing Princesses (2006)
236,"Slimer(ESFP),Cornelius Wellesly / The Chairman(ESTP),Winston Zeddemore(ESTJ),Walter Peck(ESTJ),Walter Peck(ESTJ),Lenny Clotch (Mayor of New York City)(ESTJ),Dean Yeager(ESTJ),Jack Hardemeyer(ESTJ),Louis Tully(ENFP),Dr. Peter Venkman(ENTP),Mayor Jock Mulligan(ENTP),Dr. Janosz Poha(ENTP),Zuul the Gatekeeper(ENTJ),Judge Stephen ""The Hammer"" Wexler(ENTJ),Dana Barrett(ISFP),Dana Barrett(ISFP),Dana Barrett(ISFP),Vinz Clortho the Keymaster(ISTP),Vinz Clortho the Keymaster(ISTP),Spider Witch(ISTP),The Rookie(ISTP),Pappi Sargassi(ISTP),Zuul(ISTJ),John O'Keefe / Sedgewick Hotel Manager(ISTJ),Dr. Raymond 'Ray' Stantz(INFP),Dr. Raymond 'Ray' Stantz(INFP),Edmund Hoover / Azetlor(INFP),The Grey Lady / Dr. Eleanor Twitty(INFP),Dr. Ilyssa Selwyn(INFJ),Alice the librarian(INFJ),Dr. Egon Spengler(INTP),Gozer the Gozerian(INTJ),Ivo Shandor / Shandor the Architect(INTJ),",   Ghostbusters (1984)
237,"Aunt Susan(ESFP),Aunt Susan(ESFP),Aunt Susan(ESFP),Aunt Susan(ESFP),Sloane(ESTP),York(ESTP),Elaine(ESTJ),Abby(ENFP),Annie(ISFP),",   Holidate
238,"Linda Partridge(ESFP),Rose Gator(ESFJ),Frank T.J. Mackey(ESTP),Jimmy Gator(ENFJ),Jimmy Gator(ENFJ),Phil Parma(ISFJ),Officer Jim Kuring(ISFJ),Earl Partridge(ISTJ),""Quiz Kid"" Donnie Smith(INFP),""Quiz Kid"" Donnie Smith(INFP),Stanley Spector(INFJ),",   Magnolia (1999)
239,"Zoey Sandin(ESFP),Zoey Sandin(ESFP),Mary Sandin(ESFJ),James Sandin(ESTJ),Laney(ISFP),Eva(ISFJ),Polite Leader(ISTP),Leo Barnes(ISTJ),Charlie Sandin(INFP),Charlie Roan(INTP),Cali(XXXX),",   The Purge
240,"Morgan(ESFP),Drew Thayer(ESTP),Audrey(ENFP),Duffer(ENTJ),Sebastian Henshaw(ISFJ),Nadedja(ISTP),Wendy(ISTJ),",   The Spy Who Dumped Me (2018)
241,"Jasmine Hale(ESFP),Jasmine Hale(ESFP),Isaiah ""Juilliard""(ESFP),Maria Ackerman(ESFJ),Hayley(ESTJ),Quinn Ackerman(ENFJ),Ms.Ramierez(ENFJ),Jake Taylor(ISFP),Raven(ISFP),Charlie(ISTP),Priya(INTJ),",   Work It
242,"Rayon(ESFP),Rayon(ESFP),""Sunflower""(ESFP),Ron Woodroof(ESTP),Dr Savard(ISTJ),",   Dallas Buyer's Club (2013)
243,"Martha May Whovier(ESFP),The Grinch(ISTP),",   How The Grinch Stole Christmas (2000)
244,"Shaun(ESFP),Kelly(ESFP),Combo(ESTP),Woody(ENFJ),Harvey(ENTP),Flip(ENTJ),Lol(ISFP),Higgy(ISFP),Smell(ISFJ),Gadget(ISTP),Banjo(ISTJ),Milky(INFP),Trev(INFP),Meggy(INTP),",   This Is England (2006)
245,"Mercedes(ESFP),Diamond(ESFP),Ramona Vega(ESTP),Destiny(ISFP),Destiny(ISFP),Annabelle(INFP),Elizabeth(INFJ),",   Hustlers (2019)
246,"Buck(ESFP),Buck(ESFP),Buck(ESFP),Maggie(ESTP),Maggie(ESTP),Mrs. Caloway(ESTJ),Mrs. Caloway(ESTJ),Alameda Slim(ENTP),Lucky Jack(ENTP),Grace(INFP),",   Home on the Range (2004)
247,"Milt ""Hollywood"" Zane(ESFP),Smitty Ryker(ESTP),Smitty Ryker(ESTP),Captain Jack Glover(ESTJ),Dorothy Schutte(ENFJ),Dorothy Schutte(ENFJ),Bertha Doss(ISFJ),Desmond Doss(INFP),",   Hacksaw Ridge (2016)
248,"Frank Catton(ESFP),Frank Catton(ESFP),Turk Malloy(ESFP),Saul Bloom(ESFJ),Rusty Ryan(ESTP),Terry Benedict(ESTJ),Reuben Tishkoff(ENFP),Basher Tarr(ENTP),Danny Ocean(ENTJ),Virgil Malloy(ISFP),Tess Ocean(ISFJ),Tess Ocean(ISFJ),Yen(ISTP),Linus Caldwell(INTP),Livingston Dell(INTP),",   Ocean's Eleven Trilogy
249,"Superman(ESFP),Joker(ENFP),Dick Grayson(ENFP),Phyllis(XXXX),Harley Quinn(ENFP),Bruce Wayne ""Batman""(ENTJ),",   The Lego Batman Movie (2017)
250,"Alberto Crespo(ESFP),Alberto Crespo(ESFP),Jacinta Mallo(ESFJ),Jacinta Mallo(ESFJ),Jacinta Mallo(ESFJ),Mercedes(ENFJ),Federico Delgado(ISFJ),Salvador Mallo(INFP),",   Pain and Glory (Dolor y gloria; 2019)
251,"Norther Winslow(ESFP),Sandra Templeton(ESFJ),Sandra Templeton(ESFJ),Edward Bloom(ENFP),Edward Bloom(ENFP),Karl(ISFP),Don Price(ISFP),Will Bloom(INFP),Will Bloom(INFP),Josephine(INFP),",   Big Fish (2003)
252,"Vitaly Orlov(ESFP),Vitaly Orlov(ESFP),Vitaly Orlov(ESFP),Vitaly Orlov(ESFP),Yuri Orlov(ENTJ),Yuri Orlov(ENTJ),André Baptiste Sr.(ENTJ),André Baptiste Sr.(ENTJ),André Baptiste Sr.(ENTJ),General Dmitri Volkov(XXXX),Anatoly Orlov(XXXX),Simeon Weisz(INTJ),",   Lord of War (2005)
253,"Rose(ESFP),Rose(ESFP),Rose(ESFP),Rose(ESFP),Edie Fitzgerald(ESFP),Brad Gurdlinger(ENTP),Don Fitzgerald(ISFJ),Casey(ISTP),Kenny(INFP),Melissa Fitzgerald(INFP),",   We're The Millers (2013)
254,"Linda Rogo(ESFP),Linda Rogo(ESFP),Belle Rosen(ESFJ),Robin Shelby(ENTJ),James Martin(ISFP),Acres(ISFJ),Nonnie Parry(ISFJ),Manny Rosen(ISTP),",   The Poseidon Adventure (1972)
255,"Roz Focker(ESFP),Pam Byrnes(ISFP),Pam Byrnes(ISFP),Jack Byrnes(ISTJ),",   Meet the Parents (2000)
256,"Riley Biers(ESFP),Riley Biers(ESFP),Riley Biers(ESFP),Riley Biers(ESFP),Jared Cameron(ESFP),Kate(ESFP),Jessica Stanley(ESFJ),Emily Young(ESFJ),Emmett Cullen(ESTP),Paul Lahote(ESTP),Felix(ESTP),Rosalie Hale(ESTJ),Victoria Sutherland(ESTJ),Alice Cullen(ENFP),Aro(ENFP),Renée Dwyer(ENFP),Billy Black(ENFJ),Garrett(ENTP),Quil Ateara V(ENTP),Jane(ENTJ),Jane(ENTJ),Leah Clearwater(ENTJ),Isabella ""Bella"" Swan(ISFP),Jacob Black(ISFP),Jasper Hale(ISFJ),Tanya(ISFJ),Tanya(ISFJ),Tanya(ISFJ),Irina(ISFJ),James Witherdale(ISTP),James Witherdale(ISTP),Demetri(ISTP),Laurent Da Revin(ISTJ),Laurent Da Revin(ISTJ),Sam Uley(ISTJ),Renesmee Cullen(INFP),Bree Tanner(INFP),Bree Tanner(INFP),Angela Weber(INFP),Eric Yorkie(INFP),Edward Cullen(INFJ),Carlisle Cullen(INFJ),Marcus(INFJ),Marcus(INFJ),Embry Call(INTP),Alec(INTP),Caius(INTJ),",   Twilight
257,"Sutter Keely(ESFP),Sutter Keely(ESFP),Sutter Keely(ESFP),Sutter Keely(ESFP),Aimee Finicky(INFJ),",   The Spectacular Now (2013)
258,"Nick Eisner(ESFP),Nick Eisner(ESFP),Jack Spier(ESTP),Bram Greenfeld(ENFP),Emily Spier(ENFJ),Emily Spier(ENFJ),Martin Addison(ENTP),Simon Spier(ISFJ),Leah Burke(ISFJ),","   Love, Simon (2018)"
259,"Pete(ESFP),Pete(ESFP),Tommy(ENFP),Everett(ENTP),Penny(ISTJ),The Blind Prophet(INFJ),","   O Brother, Where Art Thou? (2000)"
260,"Felix Kendrickson(ESFP),Ivanhoe(ESFP),David Duke(ESFJ),Ron Stallworth(ESTP),Patrice Dumas(ENFJ),Patrice Dumas(ENFJ),Kwame Ture(ENFJ),Kwame Ture(ENFJ),Kwame Ture(ENFJ),Flip Zimmerman(ISTP),",   BlacKkKlansman (2018)
261,"Ryan Huddle(ESFP),Donald Anderton(ESTJ),Annie Davis(ENFP),Brooks Davis(ENTP),The Bulgarian(ENTJ),Michelle Sterling(ISFP),Michelle Sterling(ISFP),Michelle Sterling(ISFP),Gary Kingsbury(INTJ),",   Game Night (2018)
262,"Schofield Kid(ESFP),Strawberry Alice(ESFJ),Little Bill Daggett(ESTJ),English Bob(ENTP),William ""Will"" Munny(ISTP),W. W. Beauchamp(INFP),Ned Logan(INFJ),",   Unforgiven (1992)
263,"Billy(ESFP),George Hanson(ESTP),Wyatt(INFJ),",   Easy Rider
264,"Slyder(ESFP),Princess Liana (Barbie)(ESFJ),Melody(ESFJ),Stacie(ESFJ),Phaedra(ENFP),Ian(ENTP),Jeremy(ENTP),Princess Alexa (Teresa)(ISFP),Teresa(ISFP),Dori(INFJ),",   Barbie and the Diamond Castle (2008)
265,"Camryn Barnes(ESFP),Ileana WarBurton(ENFJ),Miranda DuBaer(ISFJ),Karsh WarBurton(ISTJ),Alex Fielding(INTJ),",   Twitches (2005)
266,"Bailey Butler(ESFP),",   Unpregnant (2020)
267,"Marcee(ESFP),Charles(ESTP),Alicia Nash(ENTP),Alicia Nash(ENTP),Martin Hansen(ENTJ),Martin Hansen(ENTJ),Richard Sol(ISTP),Bender(ISTJ),Dr. Rosen(INFJ),John Nash(INTJ),",   A Beautiful Mind (2001)
268,"Sandy Henderson(ESFP),Sandy Henderson(ESFP),Roy Laferty(ESFP),Lee Bodecker(ESTP),Lee Bodecker(ESTP),Preston Teagardin(ENFJ),Carl Henderson(ENTJ),Charlotte Russell(ISFJ),Helen Hatton(ISFJ),Arvin Russell(ISTP),",   The Devil All the Time (2020)
269,"Kit Keller(ESFP),""All the Way"" Mae Mordabito(ESFP),Bob Hinson(ESFP),Helen Haley(ESFJ),Jimmy Dugan(ESTP),Doris Murphy(ESTP),Ernie Capadino(ENTP),Walter Harvey(ENTJ),Shirley Baker(ISFP),Marla Hooch(ISFJ),Evelyn Gardner(ISFJ),Dottie Hinson(ISTJ),Ira Lowenstein(INFP),Betty ""Spaghetti"" Horn(INFJ),Alice ""Skeeter"" Gaspers(INFJ),",   A League of Their Own (1992)
270,"Howard Bondurant(ESFP),Howard Bondurant(ESFP),Special Deputy Charley Rakes(ESTJ),Jack Bondurant(ENFP),Maggie Beauford(ENFJ),Floyd Banner(ENTJ),Bertha Minnix(ISFP),Cricket Pate(INTP),Forrest Bondurant(INTJ),",   Lawless (2012)
271,"Connor Rooney(ESFP),Connor Rooney(ESFP),Harlen Maguire(ISFP),Annie Sullivan(ISFJ),Michael Sullivan(ISTJ),Michael Sullivan(ISTJ),John Rooney(ISTJ),Michael Sullivan, Jr.(XXXX),",   Road to Perdition (2002)
272,"Dora(ESFP),Dora(ESFP),Dora(ESFP),Vicentão(ESTP),Eurico(ESTJ),Eurico(ESTJ),Major Antônio Morais(ESTJ),Bispo(ESTJ),João Grilo(ENTP),Nossa Senhora(ISFJ),Padre João(ISFJ),Cangaceiro Severino(ISTP),Chicó(INFP),Rosa(INFP),Jesus Cristo(INFJ),Diabo(INTJ),",   O Auto da Compadecida
273,"Fly(ESFP),Sasha(ESFP),Mac Krill(ENTP),Stella(INFP),Chuck(INTP),Joe(INTJ),",   help i'm a fish
274,"Marcelina(ESFP),Marcelina(ESFP),Zélia(ESFP),Hermínia(ESFJ),Carlos Alberto(ENTJ),Juliano(INFP),",   Minha Mãe é Uma Peça (My Mom Is a Character)
275,"Kevin Beckman(ESFP),Kevin Beckman(ESFP),Jillian Holtzmann(ENTP),Erin Gilbert(ISTJ),Abby Yates(INTP),Rowan North(INTJ),",   Ghostbusters (2016)
276,"Candy(ESFP),Candy(ESFP),Alien(ESTP),Faith(ISFJ),",   Spring Breakers (2012)
277,"Father Daniel Flynn/Dock O’Kelly(ESFP),Father Daniel Flynn/Dock O’Kelly(ESFP),Father Daniel Flynn/Dock O’Kelly(ESFP),Laramie Seymour Sullivan/Dwight Broadbeck(ESTJ),Laramie Seymour Sullivan/Dwight Broadbeck(ESTJ),Darlene Sweet(ISFP),Darlene Sweet(ISFP),Emily Summerspring(ISFJ),Rose Summerspring(ISTP),Rose Summerspring(ISTP),Miles Miller(INFP),",   Bad Times at the El Royale (2018)
278,"Uncle Gaston(ESFP),Uncle Gaston(ESFP),Tallulah(ESFJ),Lazlo(ESTP),Aunt Petunia(ESTJ),Lucille Krunklehorn(ENFP),Bud(ENFP),Franny(ENFJ),Wilbur Robinson(ENTP),Aunt Billie(ENTP),Uncle Joe(ISFP),Uncle Fritz(ISFJ),Michael “Mike” Yagoobian (Bowler Hat Guy)(INFP),Lewis(INTP),Doris(INTJ),Lizzy(INTJ),",   Meet the Robinsons (2007)
279,"Benny Frandsen(ESFP),Benny Frandsen(ESFP),Benny Frandsen(ESFP),Yvonne Jensen(ESFJ),Kjeld Jensen(ISFJ),Bøffen(ISTP),Børge Jensen(ISTP),Egon Olsen(INTJ),",   Olsen Banden (Olsen Gang)
280,"Beth(ESFP),Beth(ESFP),Beth(ESFP),Nicky(ESFP),Jay(ESTP),Paula(ESTJ),Cal(ENTP),David(ISFP),David(ISFP),Marla Piedmont(ISFP),Andy Stitzer(INFP),",   The 40-Year-Old Virgin (2005)
281,"Mrs Toad(ESFP),Mrs Toad(ESFP),Jacquimo(ESFJ),Jacquimo(ESFJ),Ms. Fieldmouse(ESFJ),Mr. Berkeley Beetle(ESTP),Cornelius(ENFJ),Mother(ISFJ),Mr. Mole(ISTJ),Thumbelina(INFP),Grundel(INFP),",   Thumbelina (1994)
282,"Hansel(ESFP),Maury Ballstein(ESFP),Jacobim Mugatu(ENTJ),Matilda Jeffries(ENTJ),",   Zoolander (2001)
283,"Simon(ESFP),Simon(ESFP),Mrs. Averil(ESTJ),Lady Sophia(ENTJ),Prince Richard(ISFP),Prince Richard(ISFP),Prince Richard(ISFP),Queen Helena(ISTJ),Amber Moore(INFP),Princess Emily(INTP),",   A Christmas Prince (Trilogy)
284,"Jeremy The Crow(ESFP),Jeremy The Crow(ESFP),Jenner(ENTJ),Justin(ISTP),Mr. Ages(ISTJ),Nicodemus(INFJ),",   The Secret of NIMH (1982)
285,"Amy March(ESFP),Abigail ""Marmee"" March(ENFJ),Theodore ""Laurie"" Laurence(ISFP),Theodore ""Laurie"" Laurence(ISFP),Theodore ""Laurie"" Laurence(ISFP),Theodore ""Laurie"" Laurence(ISFP),Elizabeth ""Beth"" March(ISFJ),Elizabeth ""Beth"" March(ISFJ),",   Little Women (1994)
286,"Nomi Malone(ESFP),James Smith(ESFP),Henrietta ""Mama"" Bazoom(XXXX),Andrew Carver(ESTP),Phil Newkirk(ESTP),Al Torres(ESTJ),Zack Carey(ESTJ),Tony Moss(ENTJ),Marty Jacobsen(ISFJ),Cristal Connors(ISTP),Penny(XXXX),Molly Abrams(XXXX),",   Showgirls (1995)
