,movie_index,code,mbti,title,subtitle,link,image,pubDate,director,actors,rating
361,172,36854,"Molly Gunn(ESFP),Molly Gunn(ESFP),",업타운걸,Uptown Girls,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36854,https://ssl.pstatic.net/imgmovie/mdi/mit110/0368/C6854-00.jpg,2003,보아즈 야킨,"['브리트니 머피', '다코타 패닝']",8.42
362,173,42842,"Maggot(ESFP),Bonejangles(ESFP),Nell Van Dort(ESFJ),Nell Van Dort(ESFJ),Maudeline Everglot(ESTJ),Emily, the Corpse Bride(ENFP),Barkis Bittern(ENTJ),Victoria Everglot(ISFJ),Finis Everglot(ISTJ),Finis Everglot(ISTJ),Victor Van Dort(INFP),Elder Gutknecht(INFJ),Elder Gutknecht(INFJ),",유령 신부,Corpse Bride,https://movie.naver.com/movie/bi/mi/basic.nhn?code=42842,https://ssl.pstatic.net/imgmovie/mdi/mit110/0428/D2842-01.jpg,2005,팀 버튼,"['조니 뎁', '헬레나 본햄 카터']",8.35
363,174,149248,"Frypan(ESFP),Frypan(ESFP),Trina(ESFP),Jorge(ESFJ),Vince(ESTP),Alby(ESTJ),Gally(ESTJ),Mark(ISFP),Newt(ISFJ),Thomas(ISTP),Minho(ISTP),Brenda(ISTP),Brenda(ISTP),Sonya(ISTJ),Winston(ISTJ),Harriet(ISTJ),Aris(INFJ),Aris(INFJ),Teresa(INTP),Ava Paige(INTJ),Janson(INTJ),",메이즈 러너: 데스 큐어,Maze Runner: The Death Cure,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149248,https://ssl.pstatic.net/imgmovie/mdi/mit110/1492/149248_P11_104328.jpg,2017,웨스 볼,"['딜런 오브라이언', '토마스 생스터', '이기홍', '카야 스코델라리오']",7.84
364,174,129408,"Frypan(ESFP),Frypan(ESFP),Trina(ESFP),Jorge(ESFJ),Vince(ESTP),Alby(ESTJ),Gally(ESTJ),Mark(ISFP),Newt(ISFJ),Thomas(ISTP),Minho(ISTP),Brenda(ISTP),Brenda(ISTP),Sonya(ISTJ),Winston(ISTJ),Harriet(ISTJ),Aris(INFJ),Aris(INFJ),Teresa(INTP),Ava Paige(INTJ),Janson(INTJ),",메이즈 러너: 스코치 트라이얼,Maze Runner: Scorch Trials,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129408,https://ssl.pstatic.net/imgmovie/mdi/mit110/1294/129408_P39_121735.jpg,2015,웨스 볼,"['딜런 오브라이언', '토마스 생스터', '카야 스코델라리오', '이기홍']",8.07
365,174,105015,"Frypan(ESFP),Frypan(ESFP),Trina(ESFP),Jorge(ESFJ),Vince(ESTP),Alby(ESTJ),Gally(ESTJ),Mark(ISFP),Newt(ISFJ),Thomas(ISTP),Minho(ISTP),Brenda(ISTP),Brenda(ISTP),Sonya(ISTJ),Winston(ISTJ),Harriet(ISTJ),Aris(INFJ),Aris(INFJ),Teresa(INTP),Ava Paige(INTJ),Janson(INTJ),",메이즈 러너,The Maze Runner,https://movie.naver.com/movie/bi/mi/basic.nhn?code=105015,https://ssl.pstatic.net/imgmovie/mdi/mit110/1050/105015_P09_135359.jpg,2014,웨스 볼,"['윌 폴터', '토마스 생스터', '딜런 오브라이언', '카야 스코델라리오', '이기홍']",8.3
366,175,13576,"Tito(ESFP),Oliver(ESFJ),Fagin(ENFP),Dodger(ENTP),Bill Sykes(ENTJ),Einstein(ISFP),Francis(INTJ),",올리버와 친구들,Oliver &amp; Company,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13576,https://ssl.pstatic.net/imgmovie/mdi/mit110/0135/A3576-00.jpg,1988,조지 스크리브너,"['조셉 로렌스', '빌리 조엘']",8.88
367,176,46752,"Brennan(ESFP),Nancy Huff-Doback(ESFJ),Nancy Huff-Doback(ESFJ),Nancy Huff-Doback(ESFJ),Pam(ESFJ),Randy(ESTP),Denise(ENFJ),Derek Huff(ENTJ),Alice Huff(ISFP),",스텝 브라더스,Step Brothers,https://movie.naver.com/movie/bi/mi/basic.nhn?code=46752,https://ssl.pstatic.net/imgmovie/mdi/mit110/0467/D6752-01.jpg,2008,아담 맥케이,"['윌 페렐', '존 C. 라일리']",7.62
368,177,56058,"Julia McCullough(ESFP),Julia McCullough(ESFP),Julia McCullough(ESFP),Julia McCullough(ESFP),Sarah Borden(ESFJ),Mr. Merrit(ENFJ),Olivia Wenscombe(ISFP),Milton the Magician(ISFJ),Frederick Borden ""Bernard Fallon""(ISTP),Mr. Owens(ISTJ),Mr. Owens(ISTJ),Robert Angier ""The Great Danton""(INFJ),John Cutter(INFJ),Alfred Borden ""The Professor""(INTJ),Nikola Tesla(INTJ),",프레스티지,The Prestige,https://movie.naver.com/movie/bi/mi/basic.nhn?code=56058,https://ssl.pstatic.net/imgmovie/mdi/mit110/0560/E6058-00.jpg,2006,크리스토퍼 놀란,"['휴 잭맨', '크리스찬 베일', '마이클 케인', '스칼릿 조핸슨']",8.58
369,178,10173,"Oda Mae Brown(ESFP),Sam Wheat(ESTP),Sam Wheat(ESTP),Willie Lopez(ISTP),Subway Ghost(INTJ),Subway Ghost(INTJ),",사랑과 영혼,Ghost,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10173,https://ssl.pstatic.net/imgmovie/mdi/mit110/0101/10173_P30_095836.jpg,1990,제리 주커,"['패트릭 스웨이지', '데미 무어']",9.24
370,178,10686,"Oda Mae Brown(ESFP),Sam Wheat(ESTP),Sam Wheat(ESTP),Willie Lopez(ISTP),Subway Ghost(INTJ),Subway Ghost(INTJ),",천녀유혼 2 - 인간도,A Chinese Ghost Story II: The Story Continues...,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10686,https://ssl.pstatic.net/imgmovie/mdi/mit110/0106/10686_P11_105230.jpg,1990,정소동,"['장국영', '왕조현', '우마']",8.93
